Target Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-1.98904, 0.209057)
2: (x,y) = (0.584743, -1.91261)
3: (x,y) = (-0.312869, 1.97538)
4: (x,y) = (0.618034, 1.90211)
5: (x,y) = (1.25864, 1.55429)
6: (x,y) = (-1, 1.73205)
7: (x,y) = (1.43868, 1.38932)
8: (x,y) = (1.73205, -1)
9: (x,y) = (-0.876742, -1.79759)
10: (x,y) = (-1.59727, -1.20363)
11: (x,y) = (1.71433, -1.03008)
12: (x,y) = (-3.67394e-016, -2)
13: (x,y) = (1.6383, 1.14715)
14: (x,y) = (0.069799, -1.99878)
15: (x,y) = (-1.82709, 0.813473)
16: (x,y) = (-1.92252, 0.551275)
17: (x,y) = (-1.11839, 1.65808)
18: (x,y) = (1.78201, -0.907981)
19: (x,y) = (1.91261, -0.584743)
20: (x,y) = (-0.517638, -1.93185)
21: (x,y) = (1.90211, -0.618034)
22: (x,y) = (-1.84101, -0.781462)
23: (x,y) = (-1.20363, 1.59727)
24: (x,y) = (-1.41421, -1.41421)
25: (x,y) = (1.86716, 0.716736)
26: (x,y) = (1.91261, -0.584743)
27: (x,y) = (0.651136, 1.89104)
28: (x,y) = (-1.91261, -0.584743)
29: (x,y) = (-0.174311, 1.99239)
30: (x,y) = (1.6961, -1.05984)
31: (x,y) = (0.618034, -1.90211)
32: (x,y) = (1.6383, -1.14715)
33: (x,y) = (1.79759, -0.876742)
34: (x,y) = (0.907981, 1.78201)
35: (x,y) = (0.069799, -1.99878)
36: (x,y) = (1.46271, -1.364)
37: (x,y) = (0.243739, -1.98509)
38: (x,y) = (0.584743, 1.91261)
39: (x,y) = (-1.99239, -0.174311)
40: (x,y) = (-1.61803, 1.17557)
41: (x,y) = (1.81262, -0.845237)
42: (x,y) = (-0.278346, 1.98054)
43: (x,y) = (0.483844, -1.94059)
44: (x,y) = (1.98509, -0.243739)
45: (x,y) = (-1.33826, 1.48629)
46: (x,y) = (-1.84101, 0.781462)
47: (x,y) = (0.517638, -1.93185)
48: (x,y) = (-2, 2.44929e-016)
49: (x,y) = (-0.104672, 1.99726)
50: (x,y) = (1.31212, 1.50942)
51: (x,y) = (1.67734, 1.08928)
52: (x,y) = (1.98509, 0.243739)
53: (x,y) = (-0.68404, -1.87939)
54: (x,y) = (1.85437, 0.749213)
55: (x,y) = (1.6383, -1.14715)
56: (x,y) = (-0.845237, 1.81262)
57: (x,y) = (-1.94059, -0.483844)
58: (x,y) = (-1.25864, 1.55429)
59: (x,y) = (-1, -1.73205)
60: (x,y) = (-1.99726, -0.104672)
61: (x,y) = (1.20363, -1.59727)
62: (x,y) = (1, 1.73205)
63: (x,y) = (-0.347296, -1.96962)
64: (x,y) = (-0.174311, 1.99239)
65: (x,y) = (-0.104672, -1.99726)
66: (x,y) = (1.08928, 1.67734)
67: (x,y) = (1.81262, 0.845237)
68: (x,y) = (1.82709, 0.813473)
69: (x,y) = (1.05984, -1.6961)
70: (x,y) = (1.92252, -0.551275)
71: (x,y) = (1.59727, -1.20363)
72: (x,y) = (1.6961, 1.05984)
73: (x,y) = (-0.209057, 1.98904)
74: (x,y) = (-1.46271, -1.364)
75: (x,y) = (-0.312869, -1.97538)
76: (x,y) = (0.209057, -1.98904)
77: (x,y) = (1.25864, -1.55429)
78: (x,y) = (0.68404, -1.87939)
79: (x,y) = (0.969619, 1.74924)
80: (x,y) = (-0.278346, 1.98054)
81: (x,y) = (-1.6383, -1.14715)
82: (x,y) = (-0.0349048, 1.9997)
83: (x,y) = (1.98904, -0.209057)
84: (x,y) = (-1.9563, -0.415823)
85: (x,y) = (-0.969619, -1.74924)
86: (x,y) = (-1.91261, 0.584743)
87: (x,y) = (-1.08928, 1.67734)
88: (x,y) = (1.43868, -1.38932)
89: (x,y) = (1.96962, 0.347296)
90: (x,y) = (1.79759, 0.876742)
91: (x,y) = (0.551275, 1.92252)
92: (x,y) = (-0.907981, 1.78201)
93: (x,y) = (-1.84101, -0.781462)
94: (x,y) = (1, -1.73205)
95: (x,y) = (-1.48629, 1.33826)
96: (x,y) = (-1.73205, -1)
97: (x,y) = (1, 1.73205)
98: (x,y) = (1.46271, -1.364)
99: (x,y) = (-1.33826, -1.48629)
100: (x,y) = (-0.813473, 1.82709)
101: (x,y) = (-1.92252, 0.551275)
102: (x,y) = (1.65808, -1.11839)
103: (x,y) = (1.92252, 0.551275)
104: (x,y) = (-0.584743, 1.91261)
105: (x,y) = (-1.99513, 0.139513)
106: (x,y) = (1.55429, 1.25864)
107: (x,y) = (1.65808, 1.11839)
108: (x,y) = (-1.03008, -1.71433)
109: (x,y) = (-1.28558, -1.53209)
110: (x,y) = (-1.41421, 1.41421)
111: (x,y) = (-0.381618, -1.96325)
112: (x,y) = (1.99513, 0.139513)
113: (x,y) = (-1.65808, 1.11839)
114: (x,y) = (1.20363, -1.59727)
115: (x,y) = (-0.139513, -1.99513)
116: (x,y) = (-1.55429, -1.25864)
117: (x,y) = (-1.74924, -0.969619)
118: (x,y) = (0.517638, 1.93185)
119: (x,y) = (1.94059, -0.483844)
120: (x,y) = (1.23132, 1.57602)
121: (x,y) = (-1.33826, -1.48629)
122: (x,y) = (-1.91261, 0.584743)
123: (x,y) = (-1.85437, 0.749213)
124: (x,y) = (1.67734, -1.08928)
125: (x,y) = (-1.96325, -0.381618)
126: (x,y) = (1.67734, 1.08928)
127: (x,y) = (1.85437, -0.749213)
128: (x,y) = (1.38932, 1.43868)
129: (x,y) = (1.25864, 1.55429)
130: (x,y) = (-0.278346, 1.98054)
131: (x,y) = (-0.584743, 1.91261)
132: (x,y) = (-0.174311, -1.99239)
133: (x,y) = (1.98054, -0.278346)
134: (x,y) = (-0.139513, -1.99513)
135: (x,y) = (-0.139513, -1.99513)
136: (x,y) = (-1.90211, 0.618034)
137: (x,y) = (1.93185, 0.517638)
138: (x,y) = (1.99726, 0.104672)
139: (x,y) = (0.243739, -1.98509)
140: (x,y) = (1.20363, -1.59727)
141: (x,y) = (1.97538, -0.312869)
142: (x,y) = (1.99239, 0.174311)
143: (x,y) = (-1.46271, -1.364)
144: (x,y) = (1.9563, 0.415823)
145: (x,y) = (-1.98904, 0.209057)
146: (x,y) = (-0.749213, 1.85437)
147: (x,y) = (1.94059, -0.483844)
148: (x,y) = (1.31212, 1.50942)
149: (x,y) = (-1.81262, 0.845237)
150: (x,y) = (0.938943, 1.7659)
151: (x,y) = (1.9997, 0.0349048)
152: (x,y) = (1.46271, 1.364)
153: (x,y) = (1.22465e-016, 2)
154: (x,y) = (-0.069799, -1.99878)
155: (x,y) = (-1.96962, 0.347296)
156: (x,y) = (-0.813473, -1.82709)
157: (x,y) = (0.651136, 1.89104)
158: (x,y) = (-1.96962, 0.347296)
159: (x,y) = (-1.98054, -0.278346)
160: (x,y) = (-0.312869, 1.97538)
161: (x,y) = (-0.415823, 1.9563)
162: (x,y) = (1.08928, 1.67734)
163: (x,y) = (-1.57602, 1.23132)
164: (x,y) = (1.84101, 0.781462)
165: (x,y) = (1.96962, 0.347296)
166: (x,y) = (-1.6961, 1.05984)
167: (x,y) = (0.104672, -1.99726)
168: (x,y) = (1.87939, 0.68404)
169: (x,y) = (1.20363, 1.59727)
170: (x,y) = (-1.9997, 0.0349048)
171: (x,y) = (1.57602, 1.23132)
172: (x,y) = (1.94059, 0.483844)
173: (x,y) = (-1.7659, 0.938943)
174: (x,y) = (1.87939, -0.68404)
175: (x,y) = (1.94059, -0.483844)
176: (x,y) = (0.069799, -1.99878)
177: (x,y) = (-1.08928, 1.67734)
178: (x,y) = (1.17557, -1.61803)
179: (x,y) = (-0.174311, -1.99239)
180: (x,y) = (-1.23132, -1.57602)
181: (x,y) = (-1.74924, 0.969619)
182: (x,y) = (-1.97538, 0.312869)
183: (x,y) = (-0.449902, -1.94874)
184: (x,y) = (1.14715, -1.6383)
185: (x,y) = (-1.65808, 1.11839)
186: (x,y) = (1.99513, -0.139513)
187: (x,y) = (1.14715, -1.6383)
188: (x,y) = (-0.483844, -1.94059)
189: (x,y) = (1.03008, 1.71433)
190: (x,y) = (1.6961, -1.05984)
191: (x,y) = (0.312869, 1.97538)
192: (x,y) = (-1.99239, -0.174311)
193: (x,y) = (1.90211, -0.618034)
194: (x,y) = (0.845237, 1.81262)
195: (x,y) = (0.449902, -1.94874)
196: (x,y) = (-1.57602, -1.23132)
197: (x,y) = (-1.28558, 1.53209)
198: (x,y) = (-0.68404, 1.87939)
199: (x,y) = (0.174311, -1.99239)
200: (x,y) = (-0.209057, -1.98904)
201: (x,y) = (-0.174311, -1.99239)
202: (x,y) = (-1.97538, -0.312869)
203: (x,y) = (1.43868, -1.38932)
204: (x,y) = (-1.59727, -1.20363)
205: (x,y) = (-0.749213, -1.85437)
206: (x,y) = (-0.104672, -1.99726)
207: (x,y) = (1.20363, -1.59727)
208: (x,y) = (-0.938943, -1.7659)
209: (x,y) = (0.618034, 1.90211)
210: (x,y) = (-1.94059, -0.483844)
211: (x,y) = (-1.6383, -1.14715)
212: (x,y) = (-0.278346, 1.98054)
213: (x,y) = (1.87939, -0.68404)
214: (x,y) = (-0.938943, -1.7659)
215: (x,y) = (-0.243739, 1.98509)
216: (x,y) = (-1.94059, 0.483844)
217: (x,y) = (-1.364, 1.46271)
218: (x,y) = (1.7659, 0.938943)
219: (x,y) = (-1.23132, -1.57602)
220: (x,y) = (-1.65808, -1.11839)
221: (x,y) = (-0.278346, 1.98054)
